&b / °,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s,R_5 / 1/s,R_6 / 1/s,R_7 / 1/s,R_8 / 1/s,R_9 / 1/s
2,,,,,,,,,,
"2,1",,,,,,,,,,
"2,2",,,,,,,,,,
"2,3",,,,,,,,,,
"2,4",,,,,,,,,,
"2,5",,,,,,,,,,
"2,6",,,,,,,,,,
"2,7",,,,,,,,,,
"2,8",,,,,,,,,,
"2,9",,,,,,,,,,
3,,,,,,,,,,
"3,1",,,,,,,,,,
"3,2",,,,,,,,,,
"3,3",,,,,,,,,,
"3,4",,,,,,,,,,
"3,5",,,,,,,,,,
"3,6",,,,,,,,,,
"3,7",,,,,,,,,,
"3,8",,,,,,,,,,
"3,9",,,,,,,,,,
4,,,,,,,,,,
"4,1",,,,,,,,,,
"4,2",,,,,,,,,,
"4,3",,,,,,,,,,
"4,4",,,,,,,,,,
"4,5",,,,,,,,,,
"4,6",,,,,,,,,,
"4,7",,,,,,,,,,
"4,8",,,,,,,,,,
"4,9",,,,,,,,,,
5,,,,,,,,,,
"5,1",,,,,,,,,,
"5,2",,,,,,,,,,
"5,3",,,,,,,,,,
"5,4",,,,,,,,,,
"5,5",,,,,,,,,,
"5,6",,,,,,,,,,
"5,7",,,,,,,,,,
"5,8",,,,,,,,,,
"5,9",,,,,,,,,,
6,,,,,,,,,,
"6,1",,,,,,,,,,
"6,2",,,,,,,,,,
"6,3",,,,,,,,,,
"6,4",,,,,,,,,,
"6,5",,,,,,,,,,
"6,6",,,,,,,,,,
"6,7",,,,,,,,,,
"6,8",,,,,,,,,,
"6,9",,,,,,,,,,
7,,,,,,,,,,
"7,1",,,,,,,,,,
"7,2",,,,,,,,,,
"7,3",,,,,,,,,,
"7,4",,,,,,,,,,
"7,5",,,,,,,,,,
"7,6",,,,,,,,,,
"7,7",,,,,,,,,,
"7,8",,,,,,,,,,
"7,9",,,,,,,,,,
8,42,"89,8","143,5",183,"220,5","284,8","313,8","340,3","378,8",418
"8,1","42,3","91,5","140,3","185,5",231,"272,3","298,3","335,5","373,3",436
"8,2","40,3","93,8","135,8",182,"222,8","276,8","292,3","339,3","383,5","419,3"
"8,3",51,"83,8",142,"165,8","223,3","263,3","300,5","350,3","379,3","411,8"
"8,4","43,5","84,3","136,5",186,"229,3","238,8","291,5","348,8","367,5","421,5"
"8,5",40,"91,8","136,3",185,199,"251,5",305,"340,8","372,3","408,5"
"8,6","47,3","84,5","127,5","178,3","204,3",251,305,"332,3","368,3",405
"8,7","41,5","92,5","128,8","168,3","222,3","266,8","287,3","335,3","351,5","386,8"
