,L1Orange (cm) links,L1Orange (cm) Rechts,,L1Grün links,L1Grün rechts,,L1Blau (cm) links,L1Blau rechts
0.Ordnung,0,0,,0,0,,0,0
1.Ordnung,"-2,36","2,4",,"-2,275","2,25",,"-1,8","1,85"
2.Ordnung,"-4,875","4,81",,"-4,525","4,45",,"-3,65","3,675"
3.Ordnung,"-7,3","7,225",,"-6,85","6,75",,"-5,475","5,55"
4.Ordnung,"-9,83","9,73",,"-9,2","9,175",,"-7,35","7,25"
5.Ordnung,"-12,525","12,3",,"-11,8","11,575",,"-9,35","9,25"
6.Ordnung,"-15,33","15,8",,"-14,5",14,,"-11,275","11,175"
,,,,,,,,
,,,,,,,,
,L2Orange links,rechts,,L2 Grün links,rechts,,L2Blau links,rechts
0,0,0,,0,0,,0,0
1,"-3,55","3,5",,"-3,35","3,3",,"-2,7","2,675"
2,"-7,1","7,05",,"-6,21","6,6",,"-5,425","5,275"
3,"-10,825","10,6",,"-10,2","10,25",,"-8,11",8
4,"-14,55","14,35",,"-13,775","13,5",,"-10,86","10,7"
5,"-18,55","18,15",,"-17,6","17,1",,"-13,825","13,5"
,,,,,,,,
,,,,,,,,
,L3Orange links,rechts,,L3Grün links,rehts,,L3Blau lins,rechts
0,0,0,,0,0,,0,0
1,"-4,7","4,7",,"-4,45","4,45",,"-3,5","3,65"
2,"-9,4","9,45",,"-8,85","8,9",,-7,"7,25"
3,"-14,15","14,3",,"-13,3","13,5",,"-10,8","10,8"
,,,,,,,"-14,3","14,4"
