L1 links,L1 rechts,,
"0,26","0,29",1,
"0,49","0,48",2,
"0,66","0,68",3,
"0,9","0,94",4,
"1,13","1,15",5,
"1,35","1,35",6,
"1,56","1,58",7,
"1,77","1,78",8,
"1,95","1,97",9,
"2,2","2,21",10,
,,,
L2 links ,L2 rechts,,
"0,44","0,47",1,
"0,9","0,91",2,
"1,34","1,35",3,
"1,79","1,76",4,
"2,21","2,27",5,
"2,63","2,65",6,
"3,09","3,08",7,
"3,56","3,57",8,
"3,92",4,10,
"4,38","4,42",11,
"4,8","4,91",12,
"5,18",,,
,L3 links,Rechts ,
,"0,78","0,78",1
,"1,49","1,53",2
,"2,21","2,23",3
,"2,96",3,4
,"3,78","3,74",5
,"4,41","4,43",6
,"5,17","5,22",7
,"5,77","6,02",8
,"6,56","6,61",9
