"dicke glas in mm +-0,05mm",,nullposition mm,"Stellschraube +-0,05mm","Maxima +- 0,5",,Stellschraube,Maxima +- 1,,,
"9,7",,"4,6","4,13",1,,"3,68",5,,,
,,,"3,95",2,,"3,34",10,,,
,,,"3,8",3,,"3,1",15,,,
,,,"3,65",4,,"2,9",20,,,
,,,"3,52",5,,,,,,
,,,,,,Falsch,,,Stell,
,,,"4,92",-1,,"5,3",-5,,"5,28",-5
,,,"5,13",-2,,"6,65",-10,,"5,55",-10
,,,"5,32",-3,,"6,92",-15,,"5,83",-15
,,,"5,44",-4,,"7,18",-20,,"6,03",-20
,,,5,-5,,,,,"6,25",-25
,,,,,,,,,"6,48",-30
,,,,,,,,,"6,6",-35
,,,,,,,,,"6,79",-40
,,,,,,,,,"6,98",-45
,,,,,,,,,"7,11",-50
,,,,,,,,,"7,26",-55
,,,,,,,,,"7,41",-60
,,,,,,,,,"7,54",-65
,,,,,,,,,"7,67",-70
,,,,,,,,,"7,78",-75
,,,,,,,,,"7,9",-80
,,,,,,,,,8,-85
