Linse B:,Gegenstand cm,Linse Links cm,Linse Rechts cm,Schirm cm,,Ungenauigkeiten,,,,,
,19,"31,4","72,8",85,,"Messkala 0,5mm",,,"31,08","72,87","-41,79"
,19,"31,2","72,6",85,,Scharfstellen rechts 1mm,,,,,
,19,"30,9","72,9",85,,Scharfstellen links 3mm,,,"6,615167045",,
,19,31,"73,05",85,,,,,,,
,19,"30,9",73,85,,,,,,,
,,,,,,66,,,,,
Linse G:,19,"27,5",58,67,,,,,"27,8","57,97","-30,17"
,19,28,"57,9",67,,,,,,,
,19,"27,8","58,1",67,,,,,"4,740775521",,
,19,"27,7","57,95",67,,,,,,,
,19,28,"57,9",67,,,,,,,
