Kalibrierung Co-60,,Messung,
Dauer,400 s,Dauer,120 min
,,,
Kanal,Anzahl,Kanal,Anzahl
0,0,0,0
1,0,1,0
2,0,2,0
3,0,3,1
4,0,4,0
5,2,5,0
6,663,6,1101
7,6834,7,14253
8,8010,8,20080
9,8014,9,18111
10,8424,10,19452
11,8410,11,20483
12,7821,12,19252
13,6766,13,18204
14,5459,14,13457
15,3447,15,9817
16,3585,16,9033
17,5876,17,8540
18,6622,18,8384
19,6139,19,7785
20,4885,20,5950
21,4048,21,5172
22,4111,22,5894
23,9471,23,5399
24,18011,24,4077
25,4531,25,3754
26,5536,26,3004
27,15209,27,2904
28,5936,28,4081
29,1295,29,6825
30,1129,30,4960
31,941,31,1946
32,906,32,1598
33,754,33,1342
34,759,34,1774
35,634,35,2502
36,589,36,1629
37,567,37,928
38,483,38,743
39,475,39,596
40,426,40,533
41,411,41,645
42,431,42,844
43,421,43,864
44,467,44,899
45,448,45,674
46,422,46,448
47,255,47,334
48,131,48,347
49,167,49,310
50,505,50,338
51,926,51,781
52,471,52,1073
53,76,53,550
54,12,54,147
55,6,55,44
56,3,56,44
57,3,57,51
58,2,58,42
59,3,59,59
60,5,60,73
61,4,61,55
62,1,62,61
63,2,63,54
64,3,64,31
65,6,65,37
66,3,66,49
67,2,67,38
68,1,68,39
69,0,69,41
70,2,70,47
71,2,71,42
72,2,72,26
73,4,73,39
74,4,74,31
75,0,75,28
76,1,76,36
77,0,77,34
78,2,78,28
79,2,79,33
80,1,80,25
81,1,81,28
82,0,82,28
83,2,83,30
84,1,84,34
85,2,85,23
86,3,86,24
87,1,87,25
88,2,88,30
89,2,89,29
90,1,90,30
91,1,91,32
92,1,92,29
93,2,93,31
94,2,94,30
95,2,95,29
96,1,96,37
97,3,97,25
98,1,98,22
99,1,99,27
100,1,100,30
101,2,101,20
102,1,102,18
103,3,103,28
104,0,104,31
105,2,105,16
106,1,106,20
107,2,107,21
108,0,108,23
109,0,109,22
110,0,110,27
111,1,111,25
112,1,112,14
113,1,113,21
114,1,114,20
115,1,115,23
116,1,116,19
117,0,117,20
118,3,118,16
119,1,119,18
120,0,120,21
121,3,121,19
122,0,122,22
123,4,123,19
124,1,124,17
125,0,125,19
126,1,126,24
127,0,127,14
128,1,128,19
129,0,129,17
130,2,130,20
131,1,131,24
132,0,132,17
133,3,133,23
134,2,134,13
135,0,135,16
136,1,136,21
137,2,137,16
138,2,138,19
139,0,139,17
140,0,140,14
141,0,141,20
142,3,142,23
143,3,143,16
144,0,144,12
145,1,145,15
146,0,146,13
147,0,147,16
148,0,148,18
149,1,149,13
150,2,150,13
151,2,151,19
152,1,152,17
153,1,153,17
154,0,154,14
155,1,155,11
156,0,156,13
157,1,157,23
158,2,158,22
159,0,159,14
160,1,160,16
161,0,161,8
162,1,162,11
163,1,163,14
164,0,164,12
165,1,165,16
166,0,166,11
167,2,167,16
168,0,168,14
169,2,169,12
170,1,170,15
171,0,171,11
172,0,172,25
173,0,173,11
174,2,174,14
175,1,175,16
176,1,176,12
177,0,177,17
178,0,178,12
179,0,179,13
180,2,180,17
181,0,181,15
182,1,182,12
183,1,183,13
184,0,184,11
185,0,185,20
186,0,186,12
187,2,187,13
188,1,188,13
189,1,189,15
190,1,190,11
191,0,191,11
192,1,192,17
193,1,193,22
194,1,194,13
195,0,195,7
196,1,196,16
197,1,197,19
198,1,198,12
199,2,199,10
200,2,200,12
201,1,201,16
202,1,202,17
203,0,203,11
204,0,204,11
205,1,205,23
206,1,206,13
207,0,207,16
208,0,208,16
209,2,209,14
210,1,210,12
211,0,211,10
212,1,212,10
213,2,213,8
214,1,214,14
215,1,215,10
216,1,216,18
217,0,217,12
218,1,218,9
219,0,219,9
220,1,220,15
221,0,221,15
222,2,222,14
223,0,223,9
224,0,224,17
225,1,225,15
226,2,226,12
227,1,227,9
228,0,228,13
229,0,229,17
230,0,230,8
231,0,231,11
232,0,232,20
233,1,233,15
234,1,234,15
235,0,235,14
236,2,236,10
237,2,237,16
238,0,238,20
239,1,239,7
240,2,240,10
241,1,241,5
242,2,242,11
243,0,243,17
244,0,244,4
245,1,245,16
246,1,246,10
247,1,247,13
248,1,248,9
249,1,249,12
250,0,250,18
251,1,251,21
252,0,252,11
253,2,253,12
254,0,254,5
255,0,255,11
256,0,256,18
257,0,257,13
258,1,258,11
259,1,259,8
260,1,260,10
261,0,261,14
262,1,262,16
263,0,263,13
264,0,264,16
265,2,265,14
266,4,266,6
267,1,267,12
268,0,268,14
269,0,269,14
270,0,270,15
271,3,271,10
272,0,272,9
273,0,273,6
274,0,274,12
275,1,275,12
276,3,276,6
277,3,277,13
278,0,278,11
279,0,279,9
280,1,280,9
281,1,281,7
282,2,282,8
283,0,283,13
284,0,284,13
285,0,285,15
286,1,286,13
287,1,287,7
288,1,288,10
289,1,289,16
290,0,290,6
291,1,291,17
292,0,292,13
293,1,293,15
294,0,294,11
295,0,295,12
296,1,296,12
297,0,297,11
298,1,298,13
299,1,299,14
300,1,300,20
301,1,301,14
302,1,302,10
303,0,303,7
304,1,304,12
305,0,305,16
306,0,306,12
307,0,307,10
308,0,308,12
309,1,309,11
310,0,310,16
311,1,311,11
312,1,312,8
313,3,313,10
314,0,314,12
315,1,315,13
316,0,316,9
317,0,317,12
318,0,318,8
319,0,319,11
320,0,320,6
321,0,321,16
322,1,322,8
323,2,323,13
324,0,324,15
325,1,325,7
326,0,326,12
327,1,327,18
328,1,328,16
329,0,329,9
330,0,330,16
331,0,331,17
332,0,332,13
333,0,333,6
334,0,334,7
335,1,335,8
336,0,336,13
337,0,337,13
338,0,338,9
339,0,339,11
340,0,340,18
341,1,341,12
342,1,342,12
343,0,343,17
344,1,344,6
345,4,345,11
346,2,346,18
347,0,347,8
348,1,348,19
349,2,349,6
350,0,350,8
351,1,351,7
352,1,352,16
353,1,353,10
354,0,354,10
355,0,355,8
356,1,356,9
357,1,357,8
358,0,358,7
359,1,359,10
360,0,360,10
361,0,361,9
362,1,362,11
363,0,363,11
364,0,364,11
365,0,365,8
366,0,366,15
367,1,367,15
368,0,368,6
369,1,369,10
370,1,370,9
371,1,371,13
372,1,372,9
373,0,373,12
374,2,374,13
375,0,375,6
376,2,376,9
377,0,377,5
378,0,378,17
379,1,379,9
380,3,380,4
381,2,381,11
382,1,382,17
383,2,383,8
384,1,384,9
385,0,385,11
386,1,386,7
387,0,387,13
388,0,388,14
389,0,389,8
390,0,390,8
391,0,391,9
392,0,392,13
393,0,393,7
394,0,394,10
395,1,395,15
396,0,396,8
397,0,397,12
398,1,398,12
399,0,399,8
400,0,400,7
401,0,401,8
402,1,402,10
403,1,403,12
404,0,404,10
405,1,405,12
406,0,406,12
407,1,407,12
408,0,408,11
409,0,409,16
410,0,410,10
411,1,411,11
412,0,412,8
413,0,413,9
414,1,414,9
415,0,415,7
416,0,416,9
417,2,417,9
418,0,418,12
419,1,419,8
420,0,420,8
421,0,421,14
422,0,422,11
423,0,423,9
424,1,424,11
425,0,425,8
426,0,426,13
427,1,427,7
428,0,428,10
429,1,429,9
430,1,430,11
431,2,431,12
432,2,432,14
433,0,433,7
434,0,434,15
435,1,435,11
436,0,436,7
437,2,437,13
438,1,438,15
439,0,439,12
440,1,440,12
441,0,441,13
442,1,442,10
443,0,443,12
444,3,444,10
445,0,445,10
446,1,446,9
447,0,447,4
448,2,448,9
449,0,449,6
450,1,450,13
451,1,451,6
452,0,452,13
453,0,453,11
454,1,454,17
455,1,455,8
456,1,456,6
457,1,457,3
458,0,458,12
459,0,459,20
460,2,460,6
461,0,461,2
462,1,462,11
463,1,463,14
464,1,464,12
465,0,465,10
466,0,466,7
467,1,467,12
468,1,468,14
469,0,469,10
470,1,470,13
471,0,471,16
472,0,472,8
473,1,473,7
474,0,474,9
475,2,475,20
476,1,476,15
477,1,477,13
478,0,478,9
479,0,479,9
480,1,480,9
481,1,481,10
482,0,482,14
483,0,483,12
484,0,484,14
485,0,485,7
486,0,486,6
487,0,487,6
488,1,488,13
489,1,489,6
490,0,490,11
491,1,491,9
492,0,492,8
493,0,493,7
494,0,494,13
495,1,495,12
496,0,496,6
497,0,497,6
498,0,498,15
499,0,499,9
500,0,500,6
501,1,501,12
502,0,502,15
503,0,503,8
504,1,504,12
505,0,505,12
506,0,506,12
507,1,507,10
508,0,508,16
509,0,509,9
510,1,510,6
511,1,511,13
512,3,512,5
513,1,513,7
514,0,514,13
515,0,515,11
516,0,516,6
517,0,517,9
518,1,518,5
519,0,519,9
520,1,520,14
521,0,521,10
522,0,522,11
523,0,523,15
524,0,524,12
525,0,525,6
526,0,526,9
527,2,527,12
528,0,528,5
529,0,529,15
530,0,530,12
531,3,531,8
532,0,532,11
533,0,533,6
534,0,534,12
535,1,535,11
536,1,536,15
537,0,537,16
538,0,538,16
539,2,539,7
540,1,540,10
541,1,541,11
542,0,542,12
543,0,543,8
544,0,544,7
545,0,545,10
546,0,546,7
547,0,547,9
548,1,548,6
549,1,549,12
550,3,550,11
551,0,551,13
552,0,552,7
553,2,553,10
554,1,554,13
555,0,555,11
556,0,556,11
557,1,557,10
558,2,558,11
559,1,559,13
560,0,560,15
561,1,561,10
562,1,562,11
563,1,563,16
564,0,564,8
565,1,565,14
566,0,566,13
567,0,567,8
568,0,568,14
569,0,569,11
570,5,570,9
571,0,571,6
572,0,572,11
573,0,573,12
574,1,574,19
575,2,575,13
576,0,576,8
577,0,577,14
578,1,578,6
579,1,579,11
580,0,580,5
581,0,581,16
582,0,582,5
583,0,583,7
584,1,584,12
585,1,585,13
586,2,586,11
587,0,587,11
588,1,588,4
589,0,589,10
590,0,590,17
591,1,591,11
592,0,592,10
593,0,593,13
594,1,594,9
595,1,595,9
596,2,596,9
597,1,597,11
598,0,598,11
599,1,599,11
600,0,600,10
601,0,601,13
602,1,602,10
603,0,603,10
604,0,604,17
605,1,605,13
606,0,606,8
607,0,607,13
608,0,608,10
609,0,609,8
610,1,610,9
611,1,611,14
612,1,612,15
613,0,613,7
614,0,614,15
615,0,615,6
616,0,616,7
617,1,617,12
618,1,618,6
619,0,619,10
620,0,620,8
621,1,621,13
622,0,622,19
623,0,623,14
624,0,624,15
625,0,625,16
626,0,626,18
627,1,627,6
628,0,628,10
629,0,629,12
630,0,630,16
631,1,631,17
632,0,632,13
633,0,633,12
634,0,634,19
635,1,635,13
636,2,636,15
637,0,637,6
638,0,638,17
639,0,639,9
640,1,640,13
641,0,641,19
642,1,642,18
643,0,643,15
644,1,644,10
645,0,645,19
646,0,646,15
647,1,647,15
648,1,648,10
649,1,649,15
650,1,650,20
651,2,651,22
652,0,652,17
653,2,653,12
654,3,654,11
655,2,655,16
656,2,656,20
657,1,657,17
658,2,658,16
659,0,659,13
660,0,660,18
661,0,661,9
662,0,662,14
663,1,663,11
664,2,664,11
665,0,665,10
666,0,666,15
667,0,667,18
668,0,668,22
669,1,669,14
670,0,670,7
671,0,671,12
672,0,672,13
673,1,673,9
674,0,674,12
675,1,675,17
676,2,676,16
677,1,677,9
678,2,678,14
679,1,679,16
680,1,680,17
681,0,681,15
682,0,682,11
683,2,683,16
684,1,684,17
685,0,685,18
686,1,686,15
687,1,687,10
688,0,688,16
689,2,689,15
690,1,690,16
691,2,691,11
692,0,692,15
693,0,693,11
694,1,694,18
695,0,695,7
696,1,696,13
697,0,697,22
698,2,698,18
699,0,699,14
700,2,700,15
701,0,701,17
702,1,702,9
703,0,703,13
704,1,704,16
705,1,705,13
706,1,706,15
707,1,707,12
708,0,708,17
709,1,709,12
710,0,710,13
711,1,711,2
712,2,712,16
713,1,713,14
714,0,714,11
715,0,715,14
716,2,716,7
717,0,717,12
718,0,718,23
719,1,719,18
720,0,720,17
721,0,721,15
722,0,722,13
723,1,723,16
724,1,724,15
725,1,725,11
726,0,726,10
727,0,727,15
728,1,728,4
729,2,729,12
730,0,730,15
731,1,731,9
732,1,732,8
733,0,733,7
734,0,734,12
735,0,735,12
736,0,736,11
737,0,737,7
738,0,738,14
739,1,739,11
740,0,740,11
741,0,741,14
742,1,742,22
743,1,743,7
744,2,744,11
745,0,745,13
746,0,746,12
747,0,747,17
748,1,748,6
749,0,749,11
750,0,750,15
751,1,751,15
752,0,752,10
753,1,753,16
754,0,754,8
755,0,755,12
756,1,756,9
757,2,757,9
758,1,758,18
759,0,759,17
760,1,760,17
761,0,761,11
762,1,762,6
763,1,763,15
764,0,764,13
765,0,765,7
766,0,766,13
767,0,767,11
768,0,768,7
769,1,769,19
770,1,770,3
771,0,771,7
772,1,772,10
773,0,773,13
774,1,774,16
775,0,775,6
776,1,776,12
777,0,777,10
778,1,778,8
779,1,779,11
780,0,780,5
781,0,781,6
782,1,782,7
783,1,783,9
784,1,784,9
785,1,785,5
786,0,786,11
787,1,787,14
788,0,788,4
789,0,789,12
790,0,790,9
791,0,791,11
792,2,792,7
793,0,793,11
794,1,794,9
795,0,795,12
796,0,796,7
797,0,797,9
798,0,798,11
799,0,799,10
800,0,800,9
801,1,801,6
802,0,802,6
803,0,803,9
804,0,804,13
805,1,805,11
806,0,806,8
807,0,807,10
808,0,808,9
809,0,809,6
810,0,810,8
811,0,811,6
812,0,812,3
813,0,813,7
814,1,814,5
815,0,815,9
816,0,816,6
817,3,817,6
818,1,818,4
819,1,819,4
820,0,820,8
821,0,821,9
822,0,822,3
823,0,823,6
824,1,824,5
825,1,825,5
826,1,826,2
827,1,827,8
828,0,828,5
829,0,829,4
830,0,830,4
831,0,831,9
832,2,832,7
833,1,833,5
834,1,834,8
835,0,835,8
836,0,836,12
837,0,837,4
838,1,838,3
839,1,839,6
840,1,840,8
841,0,841,6
842,0,842,4
843,0,843,7
844,0,844,5
845,0,845,5
846,0,846,5
847,0,847,10
848,0,848,7
849,1,849,12
850,0,850,3
851,1,851,8
852,1,852,7
853,1,853,2
854,0,854,4
855,2,855,6
856,0,856,9
857,0,857,7
858,0,858,4
859,1,859,4
860,1,860,4
861,0,861,6
862,1,862,6
863,1,863,6
864,0,864,10
865,0,865,8
866,0,866,5
867,0,867,3
868,0,868,5
869,0,869,5
870,0,870,4
871,0,871,4
872,0,872,6
873,0,873,11
874,2,874,6
875,1,875,8
876,0,876,3
877,0,877,4
878,2,878,3
879,0,879,3
880,0,880,2
881,0,881,4
882,0,882,3
883,0,883,4
884,0,884,4
885,0,885,3
886,0,886,10
887,0,887,6
888,1,888,4
889,0,889,5
890,1,890,5
891,0,891,4
892,1,892,4
893,0,893,5
894,0,894,5
895,2,895,2
896,0,896,5
897,3,897,6
898,0,898,3
899,0,899,7
900,1,900,2
901,0,901,4
902,0,902,2
903,0,903,1
904,0,904,3
905,0,905,1
906,1,906,5
907,1,907,1
908,0,908,1
909,0,909,5
910,0,910,6
911,0,911,4
912,0,912,5
913,0,913,5
914,0,914,9
915,0,915,3
916,0,916,5
917,0,917,4
918,0,918,6
919,1,919,3
920,0,920,1
921,0,921,3
922,0,922,8
923,0,923,1
924,0,924,4
925,0,925,2
926,0,926,5
927,0,927,3
928,0,928,4
929,0,929,3
930,0,930,3
931,0,931,2
932,1,932,3
933,0,933,4
934,0,934,1
935,0,935,6
936,0,936,2
937,0,937,0
938,2,938,3
939,0,939,1
940,0,940,3
941,0,941,4
942,0,942,3
943,0,943,4
944,1,944,6
945,0,945,3
946,0,946,3
947,0,947,3
948,0,948,0
949,0,949,3
950,0,950,3
951,0,951,3
952,0,952,2
953,0,953,2
954,0,954,1
955,0,955,4
956,0,956,1
957,0,957,3
958,0,958,2
959,0,959,2
960,0,960,3
961,0,961,2
962,1,962,2
963,0,963,3
964,0,964,2
965,0,965,1
966,0,966,1
967,0,967,3
968,0,968,1
969,0,969,2
970,0,970,3
971,0,971,1
972,0,972,1
973,0,973,5
974,1,974,3
975,0,975,2
976,0,976,2
977,0,977,2
978,0,978,2
979,0,979,1
980,0,980,1
981,0,981,0
982,0,982,3
983,0,983,4
984,0,984,3
985,0,985,1
986,0,986,3
987,0,987,3
988,0,988,3
989,1,989,3
990,1,990,1
991,1,991,0
992,0,992,2
993,0,993,2
994,0,994,3
995,0,995,2
996,0,996,4
997,0,997,1
998,0,998,2
999,0,999,2
1000,0,1000,2
1001,0,1001,1
1002,0,1002,0
1003,0,1003,0
1004,0,1004,3
1005,0,1005,1
1006,0,1006,0
1007,0,1007,2
1008,0,1008,4
1009,1,1009,2
1010,0,1010,0
1011,1,1011,3
1012,0,1012,2
1013,1,1013,2
1014,0,1014,0
1015,0,1015,1
1016,0,1016,0
1017,0,1017,1
1018,0,1018,0
1019,0,1019,5
1020,0,1020,1
1021,0,1021,1
1022,1,1022,2
1023,2,1023,36
