Channel,Caesium,Channel,Cobalt,Channel,Natrium,,,,,,,,
0,65,0,0,0,60,,,,,,Caesium,Cobalt,Natrium
1,84,1,3,1,47,,,,,Peak bei Channel,"233,3 pm 6,2","401,4 pm 7","158,8 pm 5,6"
2,106,2,1,2,60,,,,,,,"455,0 pm 6,7","445,6 pm 7,0"
3,106,3,1,3,38,,,,,,,"851,5 pm 10,5","627,0 pm 81"
4,121,4,0,4,32,,,,,,,,
5,142,5,0,5,38,,,,,,,,
6,211,6,3,6,57,,,,,,,,
7,389,7,9,7,183,,,,,,,,
8,745,8,23,8,486,,,,,,,,
9,1171,9,41,9,803,,,,,,,,
10,1617,10,49,10,1043,,,,,,,,
11,1829,11,49,11,1277,,,,,,,,
12,1961,12,65,12,1279,,,,,,,,
13,2066,13,67,13,1349,,,,,,,,
14,1883,14,78,14,1304,,,,,,,,
15,1818,15,58,15,1284,,,,,,,,
16,1773,16,68,16,1298,,,,,,,,
17,1797,17,80,17,1057,,,,,,,,
18,1680,18,66,18,1024,,,,,,,,
19,1611,19,47,19,832,,,,,,,,
20,1331,20,49,20,593,,,,,,,,
21,1025,21,18,21,321,,,,,,,,
22,806,22,13,22,235,,,,,,,,
23,964,23,24,23,317,,,,,,,,
24,1208,24,32,24,549,,,,,,,,
25,1588,25,61,25,781,,,,,,,,
26,1634,26,61,26,863,,,,,,,,
27,1818,27,88,27,1012,,,,,,,,
28,1782,28,94,28,998,,,,,,,,
29,1788,29,103,29,1070,,,,,,,,
30,1830,30,84,30,1037,,,,,,,,
31,1762,31,94,31,1056,,,,,,,,
32,1725,32,100,32,1005,,,,,,,,
33,1698,33,87,33,1044,,,,,,,,
34,1648,34,80,34,976,,,,,,,,
35,1618,35,84,35,1009,,,,,,,,
36,1611,36,93,36,951,,,,,,,,
37,1532,37,94,37,966,,,,,,,,
38,1601,38,78,38,887,,,,,,,,
39,1533,39,85,39,986,,,,,,,,
40,1598,40,86,40,1002,,,,,,,,
41,1568,41,87,41,964,,,,,,,,
42,1665,42,86,42,977,,,,,,,,
43,1720,43,87,43,923,,,,,,,,
44,1699,44,83,44,966,,,,,,,,
45,1757,45,78,45,1015,,,,,,,,
46,1785,46,84,46,991,,,,,,,,
47,1813,47,72,47,1000,,,,,,,,
48,1802,48,78,48,1011,,,,,,,,
49,1785,49,89,49,1003,,,,,,,,
50,1875,50,97,50,983,,,,,,,,
51,1877,51,90,51,1068,,,,,,,,
52,1878,52,71,52,982,,,,,,,,
53,1787,53,92,53,1024,,,,,,,,
54,1986,54,93,54,1046,,,,,,,,
55,1991,55,100,55,1023,,,,,,,,
56,1933,56,75,56,1075,,,,,,,,
57,1900,57,74,57,1097,,,,,,,,
58,2053,58,86,58,1081,,,,,,,,
