Channel,Pilze,Habichtspilze Bayern,2010
0,9,,
1,5,,
2,3,,
3,0,,
4,0,,
5,0,,
6,2,,
7,13,,
8,31,,
9,78,,
10,118,,
11,162,,
12,183,,
13,187,,
14,198,,
15,202,,
16,203,,
17,210,,
18,223,,
19,211,,
20,168,,
21,102,,
22,51,,
23,69,,
24,152,,
25,268,,
26,355,,
27,428,,
28,446,,
29,466,,
30,457,,
31,482,,
32,437,,
33,463,,
34,451,,
35,416,,
36,437,,
37,443,,
38,432,,
39,431,,
40,401,,
41,386,,
42,364,,
43,384,,
44,401,,
45,414,,
46,399,,
47,379,,
48,357,,
49,378,,
50,393,,
51,370,,
52,354,,
53,313,,
54,359,,
55,341,,
56,335,,
57,340,,
58,287,,
59,290,,
60,271,,
61,277,,
62,278,,
63,283,,
64,281,,
65,263,,
66,237,,
67,260,,
68,266,,
69,262,,
70,239,,
71,254,,
72,249,,
73,253,,
74,221,,
75,206,,
76,229,,
77,234,,
78,194,,
79,188,,
80,188,,
81,198,,
82,190,,
83,215,,
84,177,,
85,206,,
86,203,,
87,196,,
88,191,,
89,191,,
90,183,,
91,161,,
92,170,,
93,152,,
94,156,,
95,175,,
96,137,,
97,131,,
98,132,,
99,136,,
100,131,,
101,129,,
102,131,,
103,121,,
104,161,,
105,115,,
106,145,,
107,127,,
108,105,,
109,136,,
110,124,,
111,113,,
112,116,,
113,112,,
114,109,,
115,92,,
116,99,,
117,94,,
118,102,,
119,87,,
120,89,,
121,108,,
122,91,,
123,101,,
124,109,,
125,82,,
126,113,,
127,97,,
128,79,,
129,87,,
130,69,,
131,91,,
132,84,,
133,81,,
134,79,,
135,74,,
136,78,,
137,60,,
138,68,,
139,68,,
140,49,,
141,62,,
142,66,,
143,61,,
144,64,,
145,48,,
146,62,,
147,84,,
148,59,,
149,55,,
150,40,,
151,60,,
152,48,,
153,52,,
154,42,,
155,65,,
156,52,,
157,49,,
158,56,,
159,36,,
160,43,,
161,45,,
162,50,,
163,51,,
164,43,,
165,34,,
166,48,,
167,46,,
168,43,,
169,41,,
170,43,,
171,43,,
172,47,,
173,41,,
174,47,,
175,51,,
176,53,,
177,52,,
178,36,,
179,63,,
180,46,,
181,56,,
182,40,,
183,38,,
184,37,,
185,38,,
186,49,,
187,38,,
188,44,,
189,41,,
190,24,,
191,40,,
192,45,,
193,38,,
194,39,,
195,42,,
196,46,,
197,41,,
198,38,,
199,27,,
200,36,,
201,39,,
202,41,,
203,38,,
204,42,,
205,44,,
206,46,,
207,39,,
208,42,,
209,43,,
210,63,,
211,49,,
212,52,,
213,49,,
214,48,,
215,37,,
216,40,,
217,52,,
218,38,,
219,44,,
220,46,,
221,41,,
222,35,,
223,37,,
224,32,,
225,39,,
226,42,,
227,40,,
228,49,,
229,44,,
230,47,,
231,33,,
232,52,,
233,47,,
234,56,,
235,47,,
236,54,,
237,43,,
238,39,,
239,30,,
240,39,,
241,39,,
242,39,,
243,38,,
244,27,,
245,27,,
246,19,,
247,25,,
248,13,,
249,23,,
250,21,,
251,25,,
252,21,,
253,18,,
254,19,,
255,28,,
256,20,,
257,16,,
258,24,,
259,15,,
260,19,,
261,18,,
262,19,,
263,20,,
264,15,,
265,16,,
266,21,,
267,20,,
268,21,,
269,21,,
270,21,,
271,18,,
272,22,,
273,13,,
274,27,,
275,24,,
276,16,,
277,28,,
278,17,,
279,19,,
280,25,,
281,11,,
282,27,,
283,19,,
284,17,,
285,23,,
286,16,,
287,25,,
288,16,,
289,16,,
290,19,,
291,21,,
292,14,,
293,16,,
294,17,,
295,19,,
296,20,,
297,25,,
298,20,,
299,21,,
300,13,,
301,16,,
302,18,,
303,19,,
304,8,,
305,19,,
306,22,,
307,17,,
308,21,,
309,13,,
310,21,,
311,15,,
312,17,,
313,18,,
314,12,,
315,10,,
316,17,,
317,14,,
318,23,,
319,12,,
320,16,,
321,18,,
322,22,,
323,17,,
324,13,,
325,22,,
326,16,,
327,16,,
328,14,,
329,20,,
330,19,,
331,13,,
332,14,,
333,15,,
334,17,,
335,11,,
336,16,,
337,14,,
338,22,,
339,18,,
340,11,,
341,10,,
342,7,,
343,13,,
344,13,,
345,7,,
346,6,,
347,10,,
348,12,,
349,15,,
350,14,,
351,16,,
352,11,,
353,12,,
354,14,,
355,9,,
356,9,,
357,14,,
358,19,,
359,16,,
360,2,,
361,9,,
362,12,,
363,11,,
364,15,,
365,9,,
366,17,,
367,8,,
368,21,,
369,8,,
370,14,,
371,12,,
372,14,,
373,17,,
374,5,,
375,10,,
376,11,,
377,12,,
378,14,,
379,17,,
380,9,,
381,3,,
382,18,,
383,16,,
384,19,,
385,16,,
386,12,,
387,11,,
388,15,,
389,11,,
390,18,,
391,13,,
392,9,,
393,18,,
394,11,,
395,11,,
396,12,,
397,15,,
398,14,,
399,9,,
400,9,,
401,6,,
402,9,,
403,7,,
404,13,,
405,5,,
406,8,,
407,10,,
408,8,,
409,11,,
410,4,,
411,11,,
412,10,,
413,9,,
414,7,,
415,5,,
416,8,,
417,7,,
418,8,,
419,13,,
420,14,,
421,12,,
422,7,,
423,4,,
424,11,,
425,12,,
426,7,,
427,11,,
428,9,,
429,12,,
430,8,,
431,6,,
432,6,,
433,10,,
434,7,,
435,7,,
436,5,,
437,6,,
438,5,,
439,6,,
440,5,,
441,6,,
442,2,,
443,3,,
444,8,,
445,5,,
446,5,,
447,5,,
448,5,,
449,5,,
450,8,,
451,4,,
452,4,,
453,7,,
454,3,,
455,6,,
456,9,,
457,4,,
458,11,,
459,4,,
460,5,,
461,12,,
462,11,,
463,5,,
464,12,,
465,15,,
466,7,,
467,8,,
468,9,,
469,9,,
470,4,,
471,13,,
472,9,,
473,15,,
474,10,,
475,10,,
476,8,,
477,15,,
478,5,,
479,12,,
480,14,,
481,9,,
482,9,,
483,16,,
484,16,,
485,11,,
486,14,,
487,17,,
488,12,,
489,20,,
490,16,,
491,8,,
492,18,,
493,21,,
494,12,,
495,20,,
496,20,,
497,19,,
498,16,,
499,17,,
500,8,,
501,16,,
502,12,,
503,8,,
504,19,,
505,18,,
506,12,,
507,7,,
508,8,,
509,13,,
510,6,,
511,5,,
512,6,,
513,2,,
514,9,,
515,7,,
516,5,,
517,10,,
518,2,,
519,2,,
520,7,,
521,4,,
522,2,,
523,9,,
524,5,,
525,4,,
526,6,,
527,3,,
528,1,,
529,3,,
530,3,,
531,2,,
532,7,,
533,4,,
534,3,,
535,5,,
536,3,,
537,1,,
538,3,,
539,6,,
540,6,,
541,1,,
542,6,,
543,2,,
544,4,,
545,3,,
546,2,,
547,5,,
548,5,,
549,10,,
550,7,,
551,2,,
552,4,,
553,2,,
554,1,,
555,3,,
556,2,,
557,3,,
558,0,,
559,2,,
560,5,,
561,0,,
562,3,,
563,3,,
564,4,,
565,4,,
566,4,,
567,3,,
568,1,,
569,1,,
570,2,,
571,6,,
572,3,,
573,2,,
574,2,,
575,4,,
576,6,,
577,1,,
578,6,,
579,3,,
580,5,,
581,5,,
582,10,,
583,9,,
584,6,,
585,11,,
586,7,,
587,6,,
588,2,,
589,1,,
590,5,,
591,7,,
592,4,,
593,5,,
594,6,,
595,3,,
596,1,,
597,7,,
598,9,,
599,5,,
600,4,,
601,8,,
602,4,,
603,2,,
604,1,,
605,4,,
606,0,,
607,2,,
608,4,,
609,4,,
610,3,,
611,0,,
612,3,,
613,4,,
614,4,,
