Channel,Blei,Channel,Ohne Blei,,,,,Blei,ohne
0,5,0,6,,,,peak bei,"32,5 pm 5,0","36,1 pm 7,4"
1,2,1,12,,,,,"15,2 pm 2,9","15,9 pm 0,3"
2,3,2,10,,,,,,
3,1,3,2,,,,,,
4,0,4,1,,,,,,
5,0,5,3,,,,,,
6,6,6,8,,,,,,
7,22,7,50,,,,,,
8,40,8,150,,,,,,
9,69,9,207,,,,,,
10,122,10,333,,,,,,
11,135,11,403,,,,,,
12,168,12,428,,,,,,
13,174,13,458,,,,,,
14,199,14,570,,,,,,
15,194,15,549,,,,,,
16,234,16,662,,,,,,
17,226,17,751,,,,,,
18,226,18,743,,,,,,
19,185,19,656,,,,,,
20,139,20,485,,,,,,
21,84,21,250,,,,,,
22,47,22,118,,,,,,
23,64,23,263,,,,,,
24,187,24,565,,,,,,
25,255,25,874,,,,,,
26,353,26,1078,,,,,,
27,409,27,1183,,,,,,
28,476,28,1218,,,,,,
29,505,29,1240,,,,,,
30,516,30,1336,,,,,,
31,520,31,1283,,,,,,
32,496,32,1365,,,,,,
33,519,33,1378,,,,,,
34,512,34,1399,,,,,,
35,508,35,1365,,,,,,
36,489,36,1383,,,,,,
37,468,37,1393,,,,,,
38,495,38,1396,,,,,,
39,429,39,1381,,,,,,
40,483,40,1308,,,,,,
41,434,41,1358,,,,,,
42,457,42,1318,,,,,,
43,466,43,1281,,,,,,
44,462,44,1243,,,,,,
45,407,45,1333,,,,,,
46,435,46,1285,,,,,,
47,466,47,1162,,,,,,
48,427,48,1252,,,,,,
49,402,49,1246,,,,,,
50,441,50,1168,,,,,,
51,461,51,1113,,,,,,
52,429,52,1133,,,,,,
53,422,53,1096,,,,,,
54,379,54,1093,,,,,,
55,362,55,1023,,,,,,
56,372,56,1026,,,,,,
57,347,57,987,,,,,,
58,364,58,955,,,,,,
59,362,59,959,,,,,,
60,315,60,932,,,,,,
61,375,61,924,,,,,,
62,335,62,850,,,,,,
63,307,63,863,,,,,,
64,305,64,840,,,,,,
65,314,65,846,,,,,,
66,325,66,706,,,,,,
67,337,67,799,,,,,,
68,288,68,718,,,,,,
69,281,69,732,,,,,,
70,283,70,740,,,,,,
71,300,71,698,,,,,,
72,261,72,697,,,,,,
73,244,73,669,,,,,,
74,267,74,644,,,,,,
75,248,75,625,,,,,,
76,237,76,618,,,,,,
77,262,77,560,,,,,,
78,212,78,621,,,,,,
79,214,79,576,,,,,,
80,233,80,584,,,,,,
81,215,81,568,,,,,,
82,220,82,588,,,,,,
83,238,83,554,,,,,,
84,206,84,554,,,,,,
85,238,85,553,,,,,,
86,230,86,548,,,,,,
87,239,87,522,,,,,,
88,205,88,531,,,,,,
89,204,89,546,,,,,,
90,201,90,519,,,,,,
91,185,91,495,,,,,,
92,187,92,466,,,,,,
93,195,93,415,,,,,,
94,165,94,417,,,,,,
95,170,95,391,,,,,,
96,157,96,376,,,,,,
97,159,97,401,,,,,,
98,162,98,374,,,,,,
99,138,99,351,,,,,,
100,133,100,378,,,,,,
101,159,101,350,,,,,,
102,150,102,329,,,,,,
103,143,103,337,,,,,,
104,126,104,310,,,,,,
105,153,105,324,,,,,,
106,129,106,325,,,,,,
107,143,107,316,,,,,,
108,139,108,303,,,,,,
109,141,109,306,,,,,,
110,150,110,327,,,,,,
111,128,111,286,,,,,,
112,131,112,289,,,,,,
113,116,113,306,,,,,,
114,96,114,280,,,,,,
115,132,115,254,,,,,,
116,106,116,260,,,,,,
117,99,117,267,,,,,,
118,126,118,270,,,,,,
119,97,119,250,,,,,,
120,94,120,233,,,,,,
121,117,121,237,,,,,,
122,102,122,273,,,,,,
123,92,123,245,,,,,,
124,109,124,267,,,,,,
125,98,125,230,,,,,,
126,119,126,230,,,,,,
127,91,127,231,,,,,,
128,101,128,262,,,,,,
129,105,129,247,,,,,,
130,106,130,239,,,,,,
131,102,131,245,,,,,,
132,93,132,214,,,,,,
133,89,133,215,,,,,,
134,77,134,183,,,,,,
135,80,135,190,,,,,,
136,67,136,170,,,,,,
137,71,137,160,,,,,,
138,85,138,182,,,,,,
139,92,139,149,,,,,,
140,59,140,148,,,,,,
141,82,141,144,,,,,,
142,66,142,154,,,,,,
143,66,143,140,,,,,,
144,67,144,154,,,,,,
145,80,145,143,,,,,,
146,71,146,144,,,,,,
147,69,147,130,,,,,,
148,63,148,141,,,,,,
149,65,149,133,,,,,,
150,66,150,114,,,,,,
151,50,151,125,,,,,,
152,55,152,129,,,,,,
153,53,153,114,,,,,,
154,46,154,117,,,,,,
155,47,155,104,,,,,,
156,56,156,110,,,,,,
157,47,157,132,,,,,,
158,43,158,95,,,,,,
159,55,159,124,,,,,,
160,60,160,120,,,,,,
161,57,161,128,,,,,,
162,63,162,141,,,,,,
163,43,163,106,,,,,,
164,53,164,93,,,,,,
165,45,165,112,,,,,,
166,49,166,99,,,,,,
167,49,167,111,,,,,,
168,54,168,109,,,,,,
169,55,169,101,,,,,,
170,42,170,111,,,,,,
171,47,171,111,,,,,,
172,44,172,95,,,,,,
173,43,173,111,,,,,,
174,51,174,96,,,,,,
175,32,175,96,,,,,,
176,51,176,99,,,,,,
177,34,177,124,,,,,,
178,41,178,113,,,,,,
179,52,179,99,,,,,,
180,41,180,82,,,,,,
181,50,181,99,,,,,,
182,33,182,88,,,,,,
183,43,183,92,,,,,,
184,51,184,94,,,,,,
185,51,185,95,,,,,,
186,47,186,105,,,,,,
187,57,187,100,,,,,,
188,40,188,102,,,,,,
189,51,189,75,,,,,,
190,36,190,73,,,,,,
191,40,191,84,,,,,,
192,56,192,87,,,,,,
193,35,193,81,,,,,,
194,40,194,84,,,,,,
195,30,195,68,,,,,,
196,29,196,78,,,,,,
197,37,197,65,,,,,,
198,36,198,91,,,,,,
199,36,199,85,,,,,,
200,36,200,105,,,,,,
201,56,201,92,,,,,,
202,36,202,81,,,,,,
203,52,203,77,,,,,,
204,32,204,75,,,,,,
205,48,205,68,,,,,,
206,43,206,102,,,,,,
207,44,207,105,,,,,,
208,47,208,82,,,,,,
209,48,209,100,,,,,,
210,49,210,88,,,,,,
211,41,211,86,,,,,,
212,36,212,92,,,,,,
213,37,213,112,,,,,,
214,47,214,97,,,,,,
215,44,215,111,,,,,,
216,48,216,109,,,,,,
217,47,217,108,,,,,,
218,53,218,102,,,,,,
219,65,219,81,,,,,,
220,42,220,110,,,,,,
221,49,221,94,,,,,,
222,40,222,95,,,,,,
223,37,223,76,,,,,,
224,38,224,92,,,,,,
225,41,225,70,,,,,,
226,27,226,70,,,,,,
227,38,227,67,,,,,,
228,36,228,63,,,,,,
229,33,229,46,,,,,,
230,30,230,66,,,,,,
231,39,231,63,,,,,,
232,20,232,57,,,,,,
233,28,233,41,,,,,,
234,25,234,48,,,,,,
235,28,235,57,,,,,,
236,27,236,42,,,,,,
237,33,237,52,,,,,,
238,27,238,60,,,,,,
239,38,239,60,,,,,,
240,29,240,42,,,,,,
241,22,241,50,,,,,,
242,29,242,40,,,,,,
243,22,243,47,,,,,,
244,28,244,50,,,,,,
245,18,245,49,,,,,,
246,24,246,48,,,,,,
247,28,247,45,,,,,,
248,29,248,59,,,,,,
249,30,249,53,,,,,,
250,23,250,38,,,,,,
251,25,251,51,,,,,,
252,22,252,40,,,,,,
253,27,253,26,,,,,,
254,17,254,46,,,,,,
255,23,255,43,,,,,,
256,20,256,40,,,,,,
257,24,257,32,,,,,,
258,12,258,51,,,,,,
259,21,259,35,,,,,,
260,21,260,60,,,,,,
261,20,261,41,,,,,,
262,24,262,47,,,,,,
263,23,263,30,,,,,,
264,27,264,42,,,,,,
265,23,265,50,,,,,,
266,18,266,32,,,,,,
267,24,267,36,,,,,,
268,18,268,41,,,,,,
269,18,269,42,,,,,,
270,14,270,49,,,,,,
271,16,271,52,,,,,,
272,35,272,34,,,,,,
273,22,273,32,,,,,,
274,27,274,38,,,,,,
275,20,275,38,,,,,,
276,22,276,32,,,,,,
277,19,277,43,,,,,,
278,15,278,58,,,,,,
279,18,279,30,,,,,,
280,17,280,40,,,,,,
281,16,281,34,,,,,,
282,21,282,38,,,,,,
283,16,283,44,,,,,,
284,21,284,41,,,,,,
285,24,285,36,,,,,,
286,13,286,41,,,,,,
287,25,287,37,,,,,,
288,31,288,31,,,,,,
289,16,289,35,,,,,,
290,18,290,36,,,,,,
291,26,291,35,,,,,,
292,26,292,37,,,,,,
293,19,293,42,,,,,,
294,21,294,40,,,,,,
295,25,295,29,,,,,,
296,19,296,32,,,,,,
297,15,297,34,,,,,,
298,13,298,34,,,,,,
299,16,299,30,,,,,,
300,17,300,28,,,,,,
301,21,301,44,,,,,,
302,18,302,37,,,,,,
303,18,303,43,,,,,,
304,21,304,32,,,,,,
305,15,305,42,,,,,,
306,7,306,31,,,,,,
307,14,307,39,,,,,,
308,27,308,28,,,,,,
309,14,309,33,,,,,,
310,18,310,27,,,,,,
311,12,311,27,,,,,,
312,16,312,44,,,,,,
313,15,313,35,,,,,,
314,8,314,41,,,,,,
315,14,315,34,,,,,,
316,13,316,38,,,,,,
317,10,317,37,,,,,,
318,19,318,26,,,,,,
319,15,319,36,,,,,,
320,9,320,43,,,,,,
321,30,321,37,,,,,,
322,25,322,37,,,,,,
323,18,323,26,,,,,,
324,17,324,40,,,,,,
325,19,325,32,,,,,,
326,15,326,40,,,,,,
327,14,327,41,,,,,,
328,21,328,34,,,,,,
329,19,329,30,,,,,,
330,14,330,20,,,,,,
331,20,331,39,,,,,,
332,13,332,38,,,,,,
333,16,333,29,,,,,,
334,18,334,27,,,,,,
335,15,335,36,,,,,,
336,17,336,36,,,,,,
337,19,337,34,,,,,,
338,24,338,25,,,,,,
339,20,339,22,,,,,,
340,18,340,41,,,,,,
341,13,341,23,,,,,,
342,12,342,45,,,,,,
343,17,343,24,,,,,,
344,14,344,24,,,,,,
345,18,345,32,,,,,,
346,12,346,21,,,,,,
347,12,347,21,,,,,,
348,26,348,26,,,,,,
349,13,349,14,,,,,,
350,9,350,15,,,,,,
351,11,351,33,,,,,,
352,9,352,35,,,,,,
353,11,353,26,,,,,,
354,8,354,17,,,,,,
355,8,355,19,,,,,,
356,8,356,31,,,,,,
357,9,357,30,,,,,,
358,10,358,28,,,,,,
359,9,359,24,,,,,,
360,12,360,19,,,,,,
361,12,361,36,,,,,,
362,8,362,25,,,,,,
363,5,363,27,,,,,,
364,12,364,21,,,,,,
365,12,365,11,,,,,,
366,10,366,24,,,,,,
367,12,367,25,,,,,,
368,10,368,19,,,,,,
369,4,369,23,,,,,,
370,18,370,26,,,,,,
371,10,371,31,,,,,,
372,14,372,21,,,,,,
373,16,373,19,,,,,,
374,12,374,20,,,,,,
375,12,375,21,,,,,,
376,7,376,20,,,,,,
377,13,377,22,,,,,,
378,9,378,16,,,,,,
379,11,379,30,,,,,,
380,11,380,26,,,,,,
381,12,381,28,,,,,,
382,15,382,25,,,,,,
383,20,383,23,,,,,,
384,13,384,34,,,,,,
385,12,385,27,,,,,,
386,19,386,31,,,,,,
387,11,387,31,,,,,,
388,13,388,23,,,,,,
389,17,389,41,,,,,,
390,11,390,24,,,,,,
391,12,391,31,,,,,,
392,22,392,17,,,,,,
393,14,393,30,,,,,,
394,13,394,31,,,,,,
395,18,395,28,,,,,,
396,12,396,21,,,,,,
397,16,397,25,,,,,,
398,13,398,22,,,,,,
399,13,399,31,,,,,,
400,15,400,27,,,,,,
401,14,401,21,,,,,,
402,19,402,21,,,,,,
403,21,403,27,,,,,,
404,21,404,23,,,,,,
405,14,405,14,,,,,,
406,9,406,19,,,,,,
407,9,407,18,,,,,,
408,13,408,22,,,,,,
409,13,409,20,,,,,,
410,12,410,25,,,,,,
411,3,411,17,,,,,,
412,7,412,16,,,,,,
413,9,413,19,,,,,,
414,15,414,13,,,,,,
415,5,415,20,,,,,,
416,6,416,14,,,,,,
417,7,417,22,,,,,,
418,5,418,13,,,,,,
419,14,419,21,,,,,,
420,11,420,17,,,,,,
421,16,421,12,,,,,,
422,8,422,14,,,,,,
423,11,423,23,,,,,,
424,11,424,16,,,,,,
425,7,425,23,,,,,,
426,13,426,25,,,,,,
427,18,427,14,,,,,,
428,12,428,19,,,,,,
429,3,429,22,,,,,,
430,9,430,17,,,,,,
431,17,431,26,,,,,,
432,10,432,15,,,,,,
433,13,433,19,,,,,,
434,9,434,18,,,,,,
435,13,435,20,,,,,,
436,8,436,15,,,,,,
437,7,437,13,,,,,,
438,12,438,14,,,,,,
439,13,439,15,,,,,,
440,9,440,15,,,,,,
441,6,441,13,,,,,,
442,8,442,17,,,,,,
443,5,443,12,,,,,,
444,9,444,16,,,,,,
445,13,445,14,,,,,,
446,5,446,13,,,,,,
447,10,447,19,,,,,,
448,7,448,10,,,,,,
449,7,449,16,,,,,,
450,7,450,10,,,,,,
451,6,451,20,,,,,,
452,10,452,10,,,,,,
453,3,453,15,,,,,,
454,8,454,13,,,,,,
455,6,455,20,,,,,,
456,7,456,16,,,,,,
457,4,457,9,,,,,,
458,4,458,14,,,,,,
459,10,459,12,,,,,,
460,7,460,11,,,,,,
461,8,461,15,,,,,,
462,6,462,9,,,,,,
463,10,463,10,,,,,,
464,7,464,10,,,,,,
465,8,465,20,,,,,,
466,5,466,15,,,,,,
467,3,467,15,,,,,,
468,9,468,16,,,,,,
469,4,469,10,,,,,,
470,6,470,19,,,,,,
471,5,471,7,,,,,,
472,5,472,14,,,,,,
473,8,473,20,,,,,,
474,7,474,16,,,,,,
475,9,475,9,,,,,,
476,12,476,13,,,,,,
477,7,477,16,,,,,,
478,13,478,18,,,,,,
479,4,479,18,,,,,,
480,12,480,21,,,,,,
481,9,481,12,,,,,,
482,15,482,19,,,,,,
483,8,483,17,,,,,,
484,9,484,15,,,,,,
485,12,485,17,,,,,,
486,7,486,24,,,,,,
487,10,487,27,,,,,,
488,8,488,26,,,,,,
489,15,489,20,,,,,,
490,8,490,14,,,,,,
491,11,491,25,,,,,,
492,11,492,21,,,,,,
493,12,493,30,,,,,,
494,9,494,25,,,,,,
495,6,495,25,,,,,,
496,12,496,28,,,,,,
497,6,497,36,,,,,,
498,15,498,32,,,,,,
499,10,499,30,,,,,,
500,11,500,26,,,,,,
501,14,501,28,,,,,,
502,13,502,30,,,,,,
503,22,503,30,,,,,,
504,18,504,33,,,,,,
505,14,505,23,,,,,,
506,16,506,30,,,,,,
507,16,507,32,,,,,,
508,16,508,23,,,,,,
509,21,509,29,,,,,,
510,9,510,25,,,,,,
511,10,511,17,,,,,,
512,4,512,33,,,,,,
513,18,513,31,,,,,,
514,18,514,21,,,,,,
515,15,515,21,,,,,,
516,14,516,25,,,,,,
517,10,517,28,,,,,,
518,9,518,13,,,,,,
519,13,519,19,,,,,,
520,6,520,12,,,,,,
521,8,521,17,,,,,,
522,9,522,13,,,,,,
523,10,523,11,,,,,,
524,8,524,5,,,,,,
525,6,525,11,,,,,,
526,8,526,12,,,,,,
527,8,527,10,,,,,,
528,8,528,3,,,,,,
529,5,529,7,,,,,,
530,7,530,11,,,,,,
531,2,531,10,,,,,,
532,5,532,10,,,,,,
533,6,533,7,,,,,,
534,6,534,6,,,,,,
535,5,535,4,,,,,,
536,3,536,9,,,,,,
537,2,537,8,,,,,,
538,2,538,9,,,,,,
539,2,539,7,,,,,,
540,5,540,7,,,,,,
541,6,541,9,,,,,,
542,2,542,11,,,,,,
543,7,543,6,,,,,,
544,6,544,7,,,,,,
545,2,545,7,,,,,,
546,2,546,11,,,,,,
547,5,547,9,,,,,,
548,6,548,10,,,,,,
549,4,549,10,,,,,,
550,2,550,8,,,,,,
551,2,551,6,,,,,,
552,4,552,12,,,,,,
553,6,553,5,,,,,,
554,1,554,6,,,,,,
555,4,555,7,,,,,,
556,8,556,8,,,,,,
557,5,557,6,,,,,,
558,2,558,9,,,,,,
559,6,559,13,,,,,,
560,6,560,3,,,,,,
561,2,561,8,,,,,,
562,4,562,7,,,,,,
563,6,563,6,,,,,,
564,3,564,3,,,,,,
565,2,565,10,,,,,,
566,2,566,8,,,,,,
567,2,567,6,,,,,,
568,2,568,6,,,,,,
569,2,569,6,,,,,,
570,4,570,4,,,,,,
571,2,571,6,,,,,,
572,1,572,7,,,,,,
