Channel,Uranoxid,Channel,Thorium,,,,uran,torium
0,16,0,67,,,peaks,"69,1 pm 2,3","86,7 pm 4,2"
1,25,1,81,,,,"268 pm 4,7","121,7 pm 2,8"
2,26,2,53,,,,"345,9 pm 4,1","165,6 pm 2,9"
3,9,3,30,,,,,"181,5 pm 3,7"
4,4,4,21,,,,,"206,9 pm 4,6"
5,2,5,7,,,,,"255,3 pm 5,4"
6,25,6,58,,,,,"320,2 pm 8,9"
7,136,7,224,,,,,"542,5 pm 10,1"
8,402,8,638,,,,,"710,5 pm 3,7"
9,730,9,1140,,,,,"871,9 pm 9,1"
10,1087,10,1573,,,,,
11,1381,11,1923,,,,,
12,1585,12,2122,,,,,
13,1647,13,2380,,,,,
14,1751,14,2619,,,,,
15,1793,15,2813,,,,,
16,1929,16,2783,,,,,
17,2054,17,2703,,,,,
18,2278,18,2628,,,,,
19,2219,19,2371,,,,,
20,1658,20,1837,,,,,
21,893,21,1008,,,,,
22,439,22,491,,,,,
23,1104,23,820,,,,,
24,2399,24,1872,,,,,
25,3630,25,2959,,,,,
26,4147,26,4012,,,,,
27,4276,27,4998,,,,,
28,4282,28,6291,,,,,
29,4387,29,7304,,,,,
30,4437,30,7594,,,,,
31,4239,31,7181,,,,,
32,4366,32,6607,,,,,
33,4750,33,6746,,,,,
34,5772,34,7291,,,,,
35,7004,35,7926,,,,,
36,8238,36,7872,,,,,
37,8334,37,6917,,,,,
38,7388,38,5885,,,,,
39,5932,39,5027,,,,,
40,4639,40,4418,,,,,
41,3789,41,4127,,,,,
42,3494,42,3708,,,,,
43,3310,43,3228,,,,,
44,3011,44,2816,,,,,
45,2425,45,2501,,,,,
46,1905,46,2412,,,,,
47,1577,47,2339,,,,,
48,1370,48,2499,,,,,
49,1276,49,2667,,,,,
50,1206,50,2624,,,,,
51,1247,51,2534,,,,,
52,1224,52,2540,,,,,
53,1356,53,2616,,,,,
54,1310,54,2471,,,,,
55,1353,55,2605,,,,,
56,1253,56,2523,,,,,
57,1307,57,2530,,,,,
58,1230,58,2429,,,,,
59,1244,59,2451,,,,,
60,1220,60,2487,,,,,
61,1166,61,2537,,,,,
62,1187,62,2346,,,,,
63,1183,63,2330,,,,,
64,1281,64,2308,,,,,
65,1397,65,2301,,,,,
66,1506,66,2333,,,,,
67,1693,67,2391,,,,,
68,1847,68,2377,,,,,
69,1921,69,2399,,,,,
70,1834,70,2400,,,,,
71,1742,71,2411,,,,,
72,1576,72,2514,,,,,
73,1445,73,2655,,,,,
74,1240,74,2708,,,,,
75,1160,75,2855,,,,,
76,1069,76,2991,,,,,
77,1008,77,2912,,,,,
78,892,78,2995,,,,,
79,901,79,2945,,,,,
80,901,80,3110,,,,,
81,883,81,3284,,,,,
82,906,82,3775,,,,,
83,861,83,4487,,,,,
84,753,84,5459,,,,,
85,745,85,6557,,,,,
86,790,86,7288,,,,,
87,785,87,7858,,,,,
88,781,88,7998,,,,,
89,745,89,7376,,,,,
90,724,90,6565,,,,,
91,722,91,5796,,,,,
92,737,92,4661,,,,,
93,680,93,3880,,,,,
94,736,94,3159,,,,,
95,654,95,2769,,,,,
96,683,96,2363,,,,,
97,664,97,2189,,,,,
98,639,98,2180,,,,,
99,609,99,2096,,,,,
100,612,100,2202,,,,,
101,551,101,2179,,,,,
102,551,102,2051,,,,,
103,586,103,2024,,,,,
104,546,104,1943,,,,,
105,580,105,1911,,,,,
106,536,106,1909,,,,,
107,506,107,1899,,,,,
108,504,108,1812,,,,,
109,525,109,1870,,,,,
110,571,110,1812,,,,,
111,445,111,1729,,,,,
112,470,112,1883,,,,,
113,457,113,1812,,,,,
114,475,114,1795,,,,,
115,480,115,1871,,,,,
116,421,116,1942,,,,,
117,469,117,2064,,,,,
118,393,118,2305,,,,,
119,429,119,2368,,,,,
120,420,120,2509,,,,,
121,389,121,2642,,,,,
122,424,122,2595,,,,,
123,395,123,2659,,,,,
124,414,124,2463,,,,,
125,376,125,2321,,,,,
126,401,126,2156,,,,,
127,362,127,1913,,,,,
128,355,128,1687,,,,,
129,392,129,1489,,,,,
130,354,130,1382,,,,,
131,366,131,1334,,,,,
132,356,132,1139,,,,,
133,312,133,1092,,,,,
134,355,134,1011,,,,,
135,307,135,978,,,,,
136,319,136,1049,,,,,
137,323,137,937,,,,,
138,302,138,996,,,,,
139,310,139,960,,,,,
140,287,140,975,,,,,
141,317,141,964,,,,,
142,304,142,975,,,,,
143,286,143,1001,,,,,
144,274,144,1027,,,,,
145,274,145,1013,,,,,
146,276,146,1021,,,,,
147,284,147,1001,,,,,
148,278,148,943,,,,,
149,262,149,963,,,,,
150,238,150,906,,,,,
151,260,151,916,,,,,
152,224,152,902,,,,,
153,261,153,893,,,,,
154,270,154,862,,,,,
155,236,155,877,,,,,
156,224,156,867,,,,,
157,206,157,818,,,,,
158,244,158,874,,,,,
159,209,159,853,,,,,
160,237,160,894,,,,,
161,212,161,966,,,,,
162,242,162,1005,,,,,
163,206,163,1090,,,,,
164,208,164,1089,,,,,
165,211,165,1098,,,,,
166,222,166,1072,,,,,
167,195,167,1094,,,,,
168,190,168,1135,,,,,
169,192,169,1056,,,,,
170,168,170,1068,,,,,
171,202,171,1062,,,,,
172,183,172,988,,,,,
173,202,173,1055,,,,,
174,188,174,1045,,,,,
175,197,175,1094,,,,,
176,194,176,1134,,,,,
177,179,177,1132,,,,,
178,180,178,1162,,,,,
179,193,179,1220,,,,,
180,177,180,1282,,,,,
181,156,181,1325,,,,,
182,172,182,1305,,,,,
183,184,183,1328,,,,,
184,194,184,1260,,,,,
185,170,185,1289,,,,,
186,161,186,1181,,,,,
187,159,187,1140,,,,,
188,178,188,1051,,,,,
189,152,189,1027,,,,,
190,157,190,988,,,,,
191,175,191,889,,,,,
192,167,192,862,,,,,
193,152,193,902,,,,,
194,164,194,954,,,,,
195,149,195,953,,,,,
196,133,196,1037,,,,,
197,124,197,1183,,,,,
198,133,198,1264,,,,,
199,150,199,1381,,,,,
200,133,200,1568,,,,,
201,129,201,1637,,,,,
202,126,202,1872,,,,,
203,133,203,1961,,,,,
204,138,204,2106,,,,,
205,143,205,2185,,,,,
206,131,206,2329,,,,,
207,142,207,2307,,,,,
208,124,208,2303,,,,,
209,131,209,2188,,,,,
210,113,210,2129,,,,,
211,114,211,2022,,,,,
212,116,212,1839,,,,,
213,95,213,1611,,,,,
214,119,214,1481,,,,,
215,111,215,1268,,,,,
216,120,216,1147,,,,,
217,110,217,993,,,,,
218,115,218,839,,,,,
219,111,219,775,,,,,
220,114,220,692,,,,,
221,115,221,630,,,,,
222,99,222,574,,,,,
223,98,223,583,,,,,
224,104,224,529,,,,,
225,94,225,501,,,,,
226,96,226,522,,,,,
227,81,227,544,,,,,
228,86,228,505,,,,,
229,79,229,484,,,,,
230,100,230,516,,,,,
231,91,231,491,,,,,
232,90,232,551,,,,,
233,79,233,502,,,,,
234,74,234,515,,,,,
235,82,235,483,,,,,
236,94,236,527,,,,,
237,87,237,494,,,,,
238,90,238,531,,,,,
239,76,239,546,,,,,
240,74,240,539,,,,,
241,88,241,497,,,,,
242,78,242,489,,,,,
243,103,243,564,,,,,
244,88,244,516,,,,,
245,95,245,537,,,,,
246,84,246,576,,,,,
247,89,247,566,,,,,
248,79,248,625,,,,,
249,106,249,644,,,,,
250,92,250,680,,,,,
251,103,251,677,,,,,
252,91,252,681,,,,,
253,107,253,765,,,,,
254,107,254,680,,,,,
255,103,255,712,,,,,
256,101,256,729,,,,,
257,115,257,754,,,,,
258,101,258,751,,,,,
259,124,259,690,,,,,
260,108,260,673,,,,,
261,128,261,659,,,,,
262,114,262,631,,,,,
263,156,263,617,,,,,
264,120,264,621,,,,,
265,148,265,641,,,,,
266,168,266,594,,,,,
267,147,267,546,,,,,
268,162,268,543,,,,,
269,143,269,567,,,,,
270,165,270,587,,,,,
271,157,271,576,,,,,
272,121,272,564,,,,,
273,124,273,589,,,,,
274,144,274,567,,,,,
275,110,275,563,,,,,
276,97,276,571,,,,,
277,90,277,521,,,,,
278,89,278,517,,,,,
279,79,279,593,,,,,
280,77,280,513,,,,,
281,77,281,525,,,,,
282,50,282,465,,,,,
283,50,283,481,,,,,
284,45,284,438,,,,,
285,61,285,505,,,,,
286,51,286,432,,,,,
287,53,287,448,,,,,
288,41,288,468,,,,,
289,48,289,415,,,,,
290,44,290,401,,,,,
291,55,291,515,,,,,
292,35,292,459,,,,,
293,35,293,454,,,,,
294,51,294,478,,,,,
295,44,295,458,,,,,
296,44,296,500,,,,,
297,46,297,520,,,,,
298,36,298,474,,,,,
299,38,299,536,,,,,
300,36,300,559,,,,,
301,33,301,507,,,,,
302,25,302,570,,,,,
303,37,303,618,,,,,
304,37,304,641,,,,,
305,50,305,663,,,,,
306,59,306,677,,,,,
307,60,307,674,,,,,
308,41,308,796,,,,,
309,36,309,820,,,,,
310,37,310,923,,,,,
311,44,311,952,,,,,
312,31,312,1034,,,,,
313,43,313,1064,,,,,
314,45,314,1159,,,,,
315,50,315,1181,,,,,
316,45,316,1221,,,,,
317,39,317,1203,,,,,
318,54,318,1213,,,,,
319,39,319,1268,,,,,
320,39,320,1277,,,,,
321,43,321,1165,,,,,
322,49,322,1126,,,,,
323,37,323,1102,,,,,
324,53,324,1071,,,,,
325,48,325,1001,,,,,
326,41,326,1060,,,,,
327,45,327,1022,,,,,
328,50,328,987,,,,,
329,53,329,954,,,,,
330,39,330,976,,,,,
331,53,331,977,,,,,
332,55,332,1017,,,,,
333,57,333,958,,,,,
334,65,334,944,,,,,
335,87,335,930,,,,,
336,69,336,930,,,,,
337,116,337,928,,,,,
338,106,338,856,,,,,
339,104,339,847,,,,,
340,111,340,827,,,,,
341,114,341,742,,,,,
342,153,342,682,,,,,
343,145,343,642,,,,,
344,162,344,564,,,,,
345,152,345,555,,,,,
346,170,346,464,,,,,
347,126,347,393,,,,,
348,141,348,380,,,,,
349,129,349,328,,,,,
350,130,350,317,,,,,
351,128,351,265,,,,,
352,117,352,230,,,,,
353,106,353,248,,,,,
354,105,354,173,,,,,
355,81,355,202,,,,,
356,90,356,177,,,,,
357,80,357,152,,,,,
358,59,358,164,,,,,
359,52,359,177,,,,,
360,48,360,161,,,,,
361,60,361,150,,,,,
