Channel,Wecker,,,,,,,peaks
0,224,,,,,,,"57,2 pm 2,1"
1,198,,,,,,,"69,6 pm 1,8"
2,166,,,,,,,"89,1 pm 2,7"
3,106,,,,,,,"107,8 pm 3,0"
4,51,,,,,,,"127,8 pm  3,3"
5,45,,,,,,,"216,4 pm 5,6"
6,177,,,,,,,"272,2 pm 6,2"
7,994,,,,,,,"?327,1 pm 7,2 ?"
8,2570,,,,,,,"387,9 pm 6,8"
9,4600,,,,,,,"429,3 pm 6,2"
10,6203,,,,,,,"477,5 pm 9,0"
11,7694,,,,,,,"600,1 pm 10,7"
12,8526,,,,,,,"?744,9 pm 10,1?"
13,10209,,,,,,,
14,12883,,,,,,,
15,15895,,,,,,,
16,17045,,,,,,,
17,15122,,,,,,,
18,12264,,,,,,,
19,9331,,,,,,,
20,6131,,,,,,,
21,3123,,,,,,,
22,1378,,,,,,,
23,2531,,,,,,,
24,5452,,,,,,,
25,8637,,,,,,,
26,12170,,,,,,,
27,17444,,,,,,,
28,25612,,,,,,,
29,35188,,,,,,,
30,41013,,,,,,,
31,38495,,,,,,,
32,31580,,,,,,,
33,24830,,,,,,,
34,19968,,,,,,,
35,16928,,,,,,,
36,13990,,,,,,,
37,10761,,,,,,,
38,8414,,,,,,,
39,7062,,,,,,,
40,6633,,,,,,,
41,6712,,,,,,,
42,6535,,,,,,,
43,6591,,,,,,,
44,6827,,,,,,,
45,6875,,,,,,,
46,7106,,,,,,,
47,7109,,,,,,,
48,7255,,,,,,,
49,7486,,,,,,,
50,7573,,,,,,,
51,7895,,,,,,,
52,7927,,,,,,,
53,8277,,,,,,,
54,8473,,,,,,,
55,8736,,,,,,,
56,9229,,,,,,,
57,9119,,,,,,,
58,9170,,,,,,,
59,9214,,,,,,,
60,9014,,,,,,,
61,8768,,,,,,,
62,8519,,,,,,,
63,8332,,,,,,,
64,8676,,,,,,,
65,9360,,,,,,,
66,10085,,,,,,,
67,11087,,,,,,,
68,12443,,,,,,,
69,12912,,,,,,,
70,12941,,,,,,,
71,12397,,,,,,,
72,11436,,,,,,,
