&b / °,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s
2,6,,,2,10
"2,1",3,,,5,15
"2,2",2,,,3,13
"2,3",7,,,8,10
"2,4",5,,,7,10
"2,5",4,,,5,18
"2,6",4,,,7,19
"2,7",4,,,5,15
"2,8",4,,,7,17
"2,9",9,,,9,21
3,3,,,6,19
"3,1",11,,,12,33
"3,2",19,,,16,13
"3,3",12,,,9,22
"3,4",13,,,24,25
"3,5",38,,,54,19
"3,6",129,,,105,15
"3,7",272,,,199,27
"3,8",435,,,328,20
"3,9",484,,,390,27
4,584,,343,479,29
"4,1",610,,344,505,19
"4,2",653,,347,515,30
"4,3",652,,310,572,28
"4,4",696,,328,582,36
"4,5",674,,293,569,29
"4,6",655,,271,535,30
"4,7",689,,262,561,27
"4,8",625,,258,516,27
"4,9",643,,215,559,39
5,612,,238,487,37
"5,1",576,,202,443,45
"5,2",520,,188,441,88
"5,3",577,,150,449,148
"5,4",566,,151,499,159
"5,5",541,,118,453,226
"5,6",485,,118,431,241
"5,7",510,,104,413,311
"5,8",482,,110,414,305
"5,9",531,,99,382,318
6,508,,96,412,346
"6,1",465,,69,426,319
"6,2",509,,70,388,333
"6,3",717,,90,521,384
"6,4",980,,130,714,321
"6,5",871,,103,843,329
"6,6",676,,79,713,385
"6,7",522,,59,506,369
"6,8",459,,63,399,382
"6,9",461,,89,463,345
7,614,,243,507,362
"7,1",1140,,653,763,337
"7,2",1888,,1185,1407,346
"7,3",2002,,1210,1867,385
"7,4",1137,,750,1450,334
"7,5",648,,353,797,347
"7,6",469,,307,449,354
"7,7",380,,239,364,371
"7,8",344,,177,311,363
"7,9",300,,166,272,348
8,309,,138,268,339
"8,1",265,,157,261,322
"8,2",275,,121,253,352
"8,3",240,,124,253,352
"8,4",233,,105,235,364
"8,5",234,,99,250,338
"8,6",217,,106,217,305
"8,7",230,,77,179,340
"8,8",238,,93,209,326
"8,9",210,,78,187,438
9,206,,112,147,614
"9,1",163,,91,157,860
"9,2",191,,63,166,781
"9,3",165,,80,137,518
"9,4",159,,47,141,365
"9,5",146,,49,123,343
"9,6",133,,57,92,381
"9,7",153,,45,118,363
"9,8",136,,41,107,357
"9,9",101,,36,106,350
10,122,,40,109,430
"10,1",98,,,,1136
"10,2",114,,,,2040
"10,3",99,,,,2277
"10,4",107,,,,1316
"10,5",102,,,,480
"10,6",91,,,,319
"10,7",77,,,,292
"10,8",90,,,,286
"10,9",89,,,,280
11,83,,,,266
"11,1",90,,,,292
"11,2",102,,,,242
"11,3",77,,,,246
"11,4",95,,,,262
"11,5",77,,,,215
"11,6",88,,,,209
"11,7",83,,,,260
"11,8",91,,,,212
"11,9",96,,,,215
12,69,,,,197
"12,1",93,,,,214
"12,2",68,,,,173
"12,3",68,,,,210
"12,4",85,,,,190
"12,5",82,,,,173
"12,6",89,,,,168
"12,7",119,,,,166
"12,8",172,,,,178
"12,9",190,,,,158
13,173,,,,156
"13,1",99,,,,131
"13,2",82,,,,137
"13,3",69,,,,137
"13,4",72,,,,115
"13,5",69,,,,114
"13,6",73,,,,127
"13,7",81,,,,112
"13,8",59,,,,100
"13,9",67,,,,99
14,65,,,,106
"14,1",74,,,,92
"14,2",72,,,,104
"14,3",110,,,,80
"14,4",313,,,,85
"14,5",514,,,,84
"14,6",437,,,,95
"14,7",215,,,,81
"14,8",110,,,,69
"14,9",84,,,,75
15,55,,,,90
"15,1",65,,,,92
"15,2",65,,,,68
"15,3",52,,,,61
"15,4",64,,,,90
"15,5",56,,,,83
"15,6",58,,,,84
"15,7",63,,,,63
"15,8",42,,,,83
"15,9",56,,,,71
16,46,,,,72
"16,1",38,,,,82
"16,2",55,,,,74
"16,3",40,,,,73
"16,4",44,,,,62
"16,5",52,,,,58
"16,6",54,,,,69
"16,7",48,,,,52
"16,8",38,,,,72
"16,9",46,,,,80
17,44,,,,62
"17,1",47,,,,73
"17,2",38,,,,61
"17,3",31,,,,57
"17,4",32,,,,55
"17,5",43,,,,77
"17,6",35,,,,51
"17,7",35,,,,69
"17,8",38,,,,66
"17,9",43,,,,56
18,33,"33,4",,,65
"18,1",35,"32,6",,,75
"18,2",38,31,,,63
"18,3",30,"29,9",,,95
"18,4",28,"31,8",,,111
"18,5",29,"27,4",,,91
"18,6",32,"32,3",,,64
"18,7",35,"34,6",,,64
"18,8",25,28,,,58
"18,9",33,"25,1",,,61
19,28,"27,3",,,54
"19,1",40,"29,9",,,58
"19,2",22,"33,4",,,56
"19,3",21,"31,6",,,55
"19,4",24,"31,6",,,47
"19,5",48,"45,9",,,49
"19,6",54,"52,6",,,54
"19,7",45,"47,3",,,49
"19,8",37,33,,,60
"19,9",21,"21,9",,,55
20,32,"25,6",,,43
"20,1",30,"25,9",,,71
"20,2",22,"26,4",,,57
"20,3",27,"23,9",,,51
"20,4",22,"24,4",,,58
"20,5",28,"23,3",,,65
"20,6",16,"20,5",,,129
"20,7",29,"21,3",,,192
"20,8",22,"25,5",,,292
"20,9",25,"20,8",,,219
21,19,"21,6",,,112
"21,1",31,,,,48
"21,2",23,,,,53
"21,3",20,,,,50
"21,4",25,,,,34
"21,5",26,,,,43
"21,6",25,,,,45
"21,7",23,,,,54
"21,8",23,,,,46
"21,9",27,,,,49
22,51,,,,47
"22,1",114,,,,44
"22,2",126,,,,42
"22,3",84,,,,49
"22,4",56,,,,45
"22,5",27,,,,51
"22,6",21,,,,51
"22,7",18,,,,36
"22,8",14,,,,42
"22,9",24,,,,50
23,16,,,,41
"23,1",19,,,,40
"23,2",23,,,,55
"23,3",17,,,,45
"23,4",17,,,,30
"23,5",16,,,,49
